EN,BM,中文,EN,BM,中文,,,,,,,,,
Police (Royal Malaysian Police Force),Polis (Pasukan Polis Diraja Malaysia),警察（马来西亚皇家警察部队）,Police - Other Motorcycle Police,Polis - Polis Motosikal Lain,警察 - 其它摩托车警察,,2.5,D,D,D,,,,
Police (Royal Malaysian Police Force),Polis (Pasukan Polis Diraja Malaysia),警察（马来西亚皇家警察部队）,Police - Traffic Control,Polis - Kawalan Trafik,警察 - 交通管制,,2.5,1.25,1,D,,,,
Police (Royal Malaysian Police Force),Polis (Pasukan Polis Diraja Malaysia),警察（马来西亚皇家警察部队）,Police Officer (Station Inspector Up),Pegawai Polis (Pemeriksa Stesen),警官（警察局督察以上）,,0,1,1,1,,,,
Porter,Porter,搬运工,"Porter - Dock, Warehouse Worker","Porter - Deck, Pekerja gudang",搬运工 - 码头，仓库工人,,0,1.25,1,1.45,,,,
Porter,Porter,搬运工,"Porter - Hospital, Hotel, Airport, Railway, Marker Ship","Porter - Hospital, Hotel,Lapangan Terbang, Kereta Api, Penanda Kapal",搬运工 - 医院，酒店，机场，铁路，标记船舶,,0,1,1,1,,,,
Post Office,Pejabat Pos,邮政局,Post Office - Maintenance Technician ,Pejabat Pos  -Juruteknik Penyelenggaraan ,邮政局 - 维修技术员,,0,1,1,1,,,,
Post Office,Pejabat Pos,邮政局,Postman - On Foot,Tukang Pos- Jalan Kaki,邮差 - 步行,Male,0,1,1,1,,,,
Post Office,Pejabat Pos,邮政局,Postwoman - On Foot,Tukang Pos- Jalan Kaki,邮差 - 步行,Female,0,1,1,1,,,,
Post Office,Pejabat Pos,邮政局,Postman - Using Bicycle Or Van,Tukang Pos- menggunakan Basikal atau Van,邮差 - 使用脚踏车或货车,Male,0,1,1,1,,,,
Post Office,Pejabat Pos,邮政局,Postwoman - Using Bicycle Or Van,Tukang Pos- menggunakan Basikal atau Van,邮差 - 使用脚踏车或货车,Female,0,1,1,1,,,,
Post Office,Pejabat Pos,邮政局,Postman - Using Motorcycle,Tukang Pos - Menggunakan motosikal ,邮差 - 使用摩托车,Male,1.0,1.25,D,1.45,,,,
Post Office,Pejabat Pos,邮政局,Postwoman - Using Motorcycle,Tukang Pos - Menggunakan motosikal ,邮差 - 使用摩托车,Female,1.0,1.25,D,1.45,,,,
Post Office,Pejabat Pos,邮政局,"Post Office - Postmaster, Counter Staff, Telephone Operator, Supervisor","Pejabat pos  - Ketua Pos, Staf kaunter, Operator Telefon, Penyelia",邮政局 - 邮政，柜台工作人员，电话接线员，主管,,0,1,1,1,,,,
Post Office,Pejabat Pos,邮政局,Post Office - Sorter ,Pejabat Pos - Penilai,邮政局 - 整理员,,0,1,1,1,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,"Brusher, Dipper, Fettler, Glazer","Juru Berus, Dipper, Fettler, Glazer",刷子，浸染，修补，上光,,0,1.25,1,1.3,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,"Fieldspar Grinder & Screener, Flint, Stock-Bin Worker, Other Workman Handling Dry Material & Sagger Washer","Fieldspar Grinder & Screener, Pembakar, Pekerja Stock-Bin, Pekerja lain yang mengendali Bahan Kering & Pembasuh Sagger ",长石磨床和筛选，火石，库存仓工人，其他处理干材料和烧箱洗涤工人,,0,1.25,1,D,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,Frit & Glade Grinder & Mixer,"Pengisar Frit & Glade, Pengaul",玻璃砂磨机和搅拌机,,2.5,D,D,D,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,"Kilnman, Labourer","Tukang Kiln, Pekerja",烧窑，劳工,,2.5,1.25,1,1.45,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,Packer,Pengedali Mesin Packer,包装工,,0,1,1,1,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,Proprietor,Pemilik,业主,,0,1,1,1,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,Sandblaster (Fully Automatic),"
Sandblaster (Sepenuhnya automatik)",喷砂（全自动）,,0,1.25,1,1,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,Sandblaster (Others),Sandblaster (Lain-lain),喷砂（其他）,,5,D,D,D,,,,
"Potteries (China, Earthenware, Glazed Brick, Porcelain, Tile & Terracotta)","Potteri (China, Gergaji tembaga, Bata Kaca, Porcelain, Tile & Terracotta)",陶器（中国，陶器，琉璃砖，陶瓷，瓷砖及兵马俑）,Skilled Worker Decorating Potteries,Pekerja Mahir Menghias Potteri,技术工人装饰陶器,,0,1,1,1,,,,
Printing & Publishing,Percetakan & Penerbitan,印刷与出版,"Compositor, Design Cutter, Proofer, Printer, Die Stamper, Dis Hand, Pager, Felter, Machine Operator, Screenmaker, Stereotyper, Type Caster","Pengarang, Pemotong Reka Bentuk, Proofer, Pencetak, Die Stamper, Dis Hand, Pager, Felter, Operator Mesin, Skuter, Stereotyper, Jenis Caster",排版工人，设计切纸，校稿，印刷，模具压模，标明，过滤，机器操作，制片，铅版，连铸,,0,1.25,1,1,,,,
Printing & Publishing,Percetakan & Penerbitan,印刷与出版,"Design Transferrer, Foreman, Layout Artist, Planner, Stencil Cutter ","Pereka Perubahan, Mandor, Pelukis Layout , Perancang, Pemotong Stecil",设计改动，工头，排版美术，策划，模板切割,Male,0,1,1,1,,,,
Printing & Publishing,Percetakan & Penerbitan,印刷与出版,"Design Transferrer, Forewoman, Layout Artist, Planner, Stencil Cutter ","Pereka Perubahan, Mandor, Pelukis Layout , Perancang, Pemotong Stecil",设计改动，工头，排版美术，策划，模板切割,Female,0,1,1,1,,,,
Printing & Publishing,Percetakan & Penerbitan,印刷与出版,"Designer, Sketcher, Chemist, Copyholder, Tracer, Reader, Publisher, Manager, Proprietor & Superintendent (With Administrative Duties Only)","Pereka, Pelakar, Ahli kimia, Pemegang salinan , Pengesan,Pembaca, Penerbit, Pengurus, Pemilik & penguatkuasa (Dengan Tugas Pentadbiran sahaja)",设计师，草图，化学家，打字看板，描图，阅读，出版商，经理，业主和监督（仅行政职务）,,0,1,1,1,,,,
Printing & Publishing,Percetakan & Penerbitan,印刷与出版,"Lithographic Plate Grainer / Preparer, Process Engraver","Lithografik plat Grainer/penyedia, Process pengukiran",平版纹样/编制，制版工人,,0,1.25,1,1,,,,
Printing & Publishing,Percetakan & Penerbitan,印刷与出版,Silk Screen Skilled Worker,"Penyiaran sutera,Pekerja mahir ",丝印技术工人,,0,1,1,1,,,,
Printing & Publishing,Percetakan & Penerbitan,印刷与出版,Skilled Worker,Pekerja mahir ,熟练工人,,0,1,1,1,,,,
Private Investigator,Penyiasat Persendirian,私家侦探,Private Investigator,Penyiasat Persendirian,私家侦探,,2.5,1.5,1,D,,,,
Proprietor,Pemilik,业主,Commercial Firm Proprietor (Office Work Only),Pemilik Perusahaan Komersial (Hanya Kerja Pejabat),商业公司业主（仅办公室工作）,,0,1,1,1,,,,
Proprietor,Pemilik,业主,"Light Products Shop Owner (E.g. Sundry Shops, Soft Drinks, etc)","Pemilik Kedai Barangan Ringan (e.g. Kedai Sundry, Minuman ringan, dan lain-lain)",轻型产品店主（例如杂货店，汽水商等）,,0,1,1,1,,,,
Proprietor,Pemilik,业主,Proprietor (Non Hazardous Trade),Pemilik (perdagangan yang Tidak Berbahaya),业主（非危险贸易）,,0,1,1,1,,,,
Proprietor,Pemilik,业主,Proprietor - Workshop With Mechanical Work,Pemilik - Bengkel Dengan Kerja Mekanikal,业主 - 拥有机械工的车间,,0,1,1,1,,,,
Radio & Television - Broadcasting Studio,Radio & Televisyen - Studio Penyiaran ,广播电视 - 广播室,"Announcer, Clerk, Guide, Production & Program-Man, Station & Studio Director, Television Presenter / VJ / Newscaster, Radio DJ / Disc Jockey","Pengumum, Kerani, Pembimbing, Produksi & Pengendali Program, Station & Pengarah Studio, Penyampai Television / VJ /Pembaca Berita, DJ Radio/ Disc Jockey",播音员，秘书，指南，制作与计划人员，电台和工作室导演，电视节目主持人/ VJ /新闻主播，电台DJ /唱片骑师,,0,1,1,1,,,,
Radio & Television - Control Room,Radio & Televisyen - Studio Penyiaran ,广播电视 - 控制室,"Chief Engineer, Control, Switchboard & Transmission & Maintenance Engineer, Supervisor","Ketua Jurutera,Pengawal , Papan suis & Penghantaran & Jurutera Penyelengaraan, Penyelia",总工程师，控制，总机和传输电维护工程师，主管,,0,1,1,1,,,,
"Radio & Television - Manufacturing, Sales & Services",Radio & Televisyen - Studio Penyiaran ,广播电视 - 制作，销售与服务,Antenna Erector - House & Offices,Antena Erector - Rumah & Pejabat,天线架设 - 住家和办公室,,0,1.25,1,1.3,,,,
"Radio & Television - Manufacturing, Sales & Services",Radio & Televisyen - Studio Penyiaran ,广播电视 - 制作，销售与服务,"Assembler, Cabinet-Maker, Coil-Winder, Condenser-Maker, Inspector, Radio & TV Installer, Repairman & Set Dealer, Tester, Wirer","Pengumpul,Pembuat-Kabinet, Coil-Winder, Pembuatan-Condenser, Pemeriksa, Pemasangan Radio & TV , Juru Penyelengaraan & Penetapan pelanggan,Penguji, Juru Wayar",组装，橱柜制造，绕线，冷凝器制造，检验，广播电视安装，修理和经销商，测试，接线,,0,1,1,1,,,,
"Radio & Television - Manufacturing, Sales & Services",Radio & Televisyen - Studio Penyiaran ,广播电视 - 制作，销售与服务,Radio & TV Set Dealer (Managing Only),Radio & TV Penetapan  (Pengurusan Sahaja),广播电视机经销商（管理职责）,,0,1,1,1,,,,
Radio & Television - Transmitter,Radio & Televisyen - Pemancar,广播电视 - 发射器,Antenna Erector & Maintenance Man,Antenna Erector & tukang Penyelengaraan ,天线竖立及维修工,,5,D,D,D,,,,
Radio & Television - Transmitter,Radio & Televisyen - Pemancar,广播电视 - 发射器,Supervisor (Office Work Only),Penyelia (Pejabat Sahaja),主管（仅办公室工作）,,0,1,1,1,,,,
Radiology - X-Ray,Radiologi - X-Ray,放射学 - X射线,"Demonstrator, Salesperson","demonstrasi, Jurujual",示范，销售员,,0,1,1,1,,,,
Radiology - X-Ray,Radiologi - X-Ray,放射学 - X射线,"Inspector Using X-Ray - Metal, Rubber etc","Pemeriksaan Menggunakan X-Ray - Logam, Getah dan lain-lain",督工使用X射线 - 金属，橡胶等,,0,1,1,1,,,,
Radiology - X-Ray,Radiologi - X-Ray,放射学 - X射线,"Nurse, Photographer, Technician","Jururawat, Jurugambar, Juruteknik",护士，摄影师，技术员,,0,1,1,1,,,,
Radiology - X-Ray,Radiologi - X-Ray,放射学 - X射线,Repairman & Tester,Penyelengaraan & Penguji,修理工和测试,Male,0,1.25,1,1,,,,
Radiology - X-Ray,Radiologi - X-Ray,放射学 - X射线,Repairwoman & Tester,Penyelengaraan & Penguji,修理工和测试,Female,0,1.25,1,1,,,,
Radiology - X-Ray,Radiologi - X-Ray,放射学 - X射线,Therapeutic Treatment,Rawatan Terapeutik,治疗,,2.5,1,1,1,,,,
Railroad,Landasan Kereta Api,铁路,"Blacksmith, Permanent Way Inspector & Overseer, Skilled Worker In Yard or Along The Track, Refreshment Car Attendant, Coach / Spray Painter, Yard Foreman.","Tukang Besi, Pemeriksa Jalan & Pengawas Tetap, Pekerja yang Mahir di halaman atau di sepanjang trek, atendan hidangan ringan kereta, gerabak / penyembur sembur, pelataran pendalaman",铁匠，固定铁路巡察及监工，场地或沿着轨道技术工人，列车茶点服务员，车厢/喷涂漆工，场地工头。,,0,1.5,1,1.45,,,,
Railroad,Landasan Kereta Api,铁路,"Pointsman, Worker Repairs Line & Helper","Pointman, Talian Pembantu & Pembantu Pekerja",扳道员，修理线工人及助手,,0,1.5,1,1.45,,,,
Railroad,Landasan Kereta Api,铁路,Stationmaster & Ticket Agent,"Ketua stesen, Agen Tiket",站长及机票代理,,0,1,1,1,,,,
Recording Company,Syarikat Rakaman,唱片公司,Singer With Recording Company,Penyanyi - Syarikat rakaman ,唱片公司歌手,,0,1,1,1,,,,
Recording Company,Syarikat Rakaman,唱片公司,"Sound Recordist, Producer, Song Writer, Band Leader","
Perakam Bunyi, Penerbit, Penulis Lagu, Pemimpin kumpulan",录音师，制作人，歌曲作家，乐队指挥,,0,1,1,1,,,,
Refugee Camp,Kem Pelarian ,难民营,"Translator, Teacher","Pentafsir, Guru",翻译员，教师,,0,1,1,1,,,,
Registrar,Pendaftaran,注册官,Registrar,Pendaftaran,注册官,,0,1,1,1,,,,
Religious,Keagamaan,宗教,"Monk, Imam","Sami, Imam",僧，宗教司,Male,0,1,1,1,,,,
Religious,Keagamaan,宗教,"Nun, Imam","Biarawati, Imam",修女，宗教司,Female,0,1,1,1,,,,
Religious,Keagamaan,宗教,Pastor / Priest / Missionary In Church,Pastor / Imam / Mubaligh Di Gereja,教堂里的牧师 / 传教士,,0,1,1,1,,,,
Religious,Keagamaan,宗教,"Temple, Mosque, Church - General Worker ","Kuil, Masjid, Gereja - Pekerja Umum",寺庙，清真寺，教堂 - 普遍工人,,0,1,1,1,,,,
Rent Collector,Pemungut Sewa,收租,Rent Collector,Pemungut Sewa,收租,,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,"Captain, Bartender","Kapten, Pelayan Bar",船长，酒保,,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,"Cashier, Receptionist, Manager, Supervisor, Restaurant Owner","Juruwang, Penyambut Tetamu,Pengurus, Penyelia, Pemilik Restoran",收银员，接待员，经理，主管，餐厅老板,,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,Chef (1st Class Restaurant),Chef (1st Class Restaurant),厨师（高级餐厅）,,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,Chef (Small Restaurant Or Cafe),Tuakang Masak  (Restoran kecil atau Kafe),厨师（小餐馆或咖啡厅）,,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,Fast Food Restaurant Staff (Delivery Work),Pekerja makanan ringan (penghantaran sahaja),快餐店工作人员（送货工作）,,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,"Kitchen Helper, Dim Sum Seller, Waiter, Cleaner","Pembantu dapur, Penjual Dim Sum, Pelayan, Pembersih",厨房帮工，点心销售员，侍者，清洁工,Male,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,"Kitchen Helper, Dim Sum Seller, Waitress & Cleaner","Pembantu dapur, Penjual Dim Sum, Pelayan, Pembersih",厨房帮工，点心销售员，女侍者，清洁工,Female,0,1,1,1,,,,
Restaurant / Coffee House,Restoran/ kafe ,餐厅/咖啡馆,Seafood Wholesaler / Buyer / Purchaser (No Delivery Work),Pemborong Makanan Laut / Pembeli / Pembelian (Tiada Penghantaran),海鲜批发商 / 采购 / 买方（无送货工作）,,0,1,1,1,,,,
Retiree / Pensioner,Pesara,退休人士 / 养老金领取者,"Retiree, Pensioner",Pesara,退休人士，养老金领取者,,0,1,1,1,,,,
Rubber Estate,Ladang Getah,橡胶园,Conductor & Foreman,"Konduktor, Mandor",指示与工头,Male,0,1,1,1,,,,
Rubber Estate,Ladang Getah,橡胶园,Conductor & Forewoman,"Konduktor, Mandor",指示与工头,Female,0,1,1,1,,,,
Rubber Estate,Ladang Getah,橡胶园,"Latex Collector, Rubber Tapper, Weeder, etc","Pemungut Latex, Tapper Getah, Peralatan menoreh, dan sebagainya",乳胶收集，割胶，除草者等,,0,1.25,1,1,,,,
Rubber Estate,Ladang Getah,橡胶园,Manager & Proprietor,"Pengurus, Pemilik",经理和业主,,0,1,1,1,,,,
Rubber Estate,Ladang Getah,橡胶园,Small Estate Holder,"
Pemegang Hartanah sederhana",小庄园主,,0,1,1,1,,,,
Rubber Processing,Pemprosesan Getah,橡胶,"Compounder, Labourer","Pengaul, Pekerja",混合加工，劳工,,2.5,1.25,1,1.3,,,,
Rubber Processing,Pemprosesan Getah,橡胶加工,Foreman,Mandor,工头,Male,0,1,1,1,,,,
Rubber Processing,Pemprosesan Getah,橡胶加工,Forewoman,Mandor,女工头,Female,0,1,1,1,,,,
Rubber Processing,Pemprosesan Getah,橡胶加工,Other Skilled Worker,Pekerja Mahir Lain ,其他技术工人,,0,1,1,1.3,,,,
Rubber Processing,Pemprosesan Getah,橡胶加工,Worker In Smoke House ,perkerja Dalam Rumah Asap,熏制室工人,,2.5,1,1,1.3,,,,
Rubber Stamp Maker,Pembuat setem getah,橡皮图章制造商,Rubber Stamp Maker,Pembuat setem getah,橡皮图章制造商,,0,1,1,1,,,,
Rug & Carpet - Cleaning & Repairing,Rug & Permaidani - Pembersihan & Perbaikan,毛毯和地毯 - 清洗和修理,"Beater, Dryer, Tumbler, Washer","Pemukul, Pengering, Tumbler, Mesin basuh",打浆，烘干，滚筒，洗衣,,0,1,1,1,,,,
Rug & Carpet - Cleaning & Repairing,Rug & Permaidani - Pembersihan & Perbaikan,毛毯和地毯 - 清洗和修理,"Mender, Retoucher, Weaver","Mender, Retoucher, Weaver",修理工，润饰工，织工,,0,1,1,1,,,,
Safety Officer (Industry),Pegawai Keselamatan (Industri),安全主任（工业）,Safety Officer (Industry),Pegawai Keselamatan (Industri),安全主任（工业）,,0,1,1,1,,,,
Salesperson,Jurujual,售货员,Door To Door Sales,Jualan Pintu Ke Pintu,逐户销售,,0,1,1,1,,,,
Salesperson,Jurujual,售货员,Outdoors (Sales Representatives - Not Handling Heavy or Hazardous Material),Luar (Wakil Jualan - Tidak Mengendalikan Bahan Berat atau Berbahaya),户外（销售代表 - 不处理粗重或危险材料）,,0,1,1,1,,,,
Salesperson,Jurujual,售货员,"Telemarketeer, Indoor Sales (Across Counters Services - Not Handling Heavy or Hazardous Material)","Telemarketer, Penjualan Dalaman (Di Kaunter Perkhidmatan - Tidak Mengendalikan Bahan Berat atau Berbahaya)",电话推销员，室内销售（跨柜台服务 - 不处理粗重或危险材料）,,0,1,1,1,,,,
Sandblaster,Pengendali Sandblaster,喷砂,Sandblaster - Building Maintenance,Sandblaster - Penyelengaran Bangunan,喷砂 - 建筑维修,,5,D,D,D,,,,
Sandblaster,Pengendali Sandblaster,喷砂,Sandblaster - Metal Industries,Sandblaster - Industri Besi,喷砂 - 金属工业,,2.5,1.5,1,D,,,,
Sandblaster,Pengendali Sandblaster,喷砂,Sandblaster - Pottery  (Others),Sandblaster - Poter ,喷砂 - 陶器（其他）,,5,D,D,D,,,,
Sandblaster,Pengendali Sandblaster,喷砂,Sandblaster - Pottery (Fully Automatic),Sandblaster - Poter (Automatik Sepenuhnya),喷砂 - 陶器（全自动）,,0,1.25,1,1,,,,
Sawmill,Kilang Papan ,锯木厂,Manager (Office Work Only),Pengurus (Pejabat sahaja),经理（仅办公室工作）,,0,1,1,1,,,,
Sawmill,Kilang Papan ,锯木厂,Skilled Worker (Forklift / Tractor Driver / Handling Machinery),Pekerja Mahir (Pemandu Forklift / Traktor / Jentera Pengendalian),熟练技工（叉车/拖拉机/装卸机械）,,0,1.25,1,1.45,,,,
Sawmill,Kilang Papan ,锯木厂,Skilled Worker (Not Handling Machinery),Pekerja Mahir (Bukan Pengendalian Jentera),熟练技工（不处理机械）,,0,1.25,1,1.3,,,,
Sawmill,Kilang Papan ,锯木厂,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Scientist,Saintis,科学家,Scientist,Saintis,科学家,,0,1,1,1,,,,
Scrap Metal Dealer,Pengedar Logam Sekerap,废铁经销商,Scrap Metal Dealer,Pengedar Logam Sekerap,废铁经销商,,0,1.25,1,1,,,,
"Security Guard, Night Watchman, Jaga","Pengawal Keselamatan, Pengawal  malam",保安员，守夜人，看守者,Security Guard - Carrying Firearms,Pengawal Keselamatan-membawa senjata api,保安员 - 携带枪支,,2.5,1.25,1,D,,,,
"Security Guard, Night Watchman, Jaga","Pengawal Keselamatan, Pengawal  malam",保安员，守夜人，看守者,Security Guard - Without Carrying Firearms,Pengawal Keselamatan- Tanpa membawa senjata api,保安员 - 无需携带枪支,,0,1.25,1,1,,,,
"Sewer, Sewage Disposal & Cesspool","Pembetung, pembuangan kumbahan & Cesspool",下水道，污水处理及污水池,"Cleaner, Labourer","Pembersih, Pekerja ",清洁工，劳工,,5,D,D,D,,,,
"Sewer, Sewage Disposal & Cesspool","Pembetung, pembuangan kumbahan & Cesspool",下水道，污水处理及污水池,Inspector,Pemeriksa,检验员,,0,1,1,1,,,,
"Sewer, Sewage Disposal & Cesspool","Pembetung, pembuangan kumbahan & Cesspool",下水道，污水处理及污水池,Skilled Worker,Pekerja mahir,熟练工人,,0,1.25,1,1.3,,,,
"Sheet-Metal Worker, Tinsmith","Pekerja Lembaran-Logam, Tukang Tin",钣金工人，锡匠,"Sheet-Metal Worker, Tinsmith - Labourer","Pekerja Lembaran-Logam, Tukang Tin - Pekerja",钣金工人，锡匠 - 劳工,,2.5,1.5,D,1.45,,,,
"Sheet-Metal Worker, Tinsmith","Pekerja Lembaran-Logam, Tukang Tin",钣金工人，锡匠,"Sheet-Metal Worker, Tinsmith - Shop Work Only","Pekerja Lembaran-Logam, Tukang Tin - kedai Sahaja",钣金工人，锡匠 - 仅在店工作,,0,1,1,1,,,,
"Sheet-Metal Worker, Tinsmith","Pekerja Lembaran-Logam, Tukang Tin",钣金工人，锡匠,"Sheet-Metal Worker, Tinsmith (Solderer / Welder)","Pekerja Lembaran-Logam, Tukang Tin - Kimpalan sahaja",钣金工人，锡匠（焊工/焊接工）,,0,1.25,1,1.45,,,,
Ship & Boat Building,Pembinaan Kapal &  Bot,船舶建造,"Ship & Boat Building - Small Boat, Motorboat, etc","Pembinaan Kapal &  Bot- boat kecil, Bot motor, Lain-lain",船舶建造- 小艇，摩托艇等,,0,1.25,1,1.3,,,,
Ship & Boat Building - Finished Hull Work,Pembinaan Kapal &  Bot- Pengimpal Hull ,船舶建造- 船体加工完成,Labourer,Pekerja,劳工,,2.5,1.5,D,1.45,,,,
Ship & Boat Building - Finished Hull Work,Pembinaan Kapal &  Bot- Pengimpal Hull ,船舶建造- 船体加工完成,Skilled Worker,Pekerja Mahir,熟练工人,,0,1.25,1,1.3,,,,
Ship & Boat Building - Finished Hull Work,Pembinaan Kapal &  Bot- Pengimpal Hull ,船舶建造- 船体加工完成,Superintendent,Penguasa,督工,,0,1,1,1,,,,
Ship & Boat Building - Finished Hull Work,Pembinaan Kapal &  Bot- Pengimpal Hull ,船舶建造- 船体加工完成,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Ship & Boat Building - Hull Construction,Pembinaan Kapal &  Bot- Pembinaan Hull ,船舶建造 - 船体建造,"Bucker, Chipper, Carpenter, Painter, Reamer, Riveter, Skilled Worker, Welder","Bucker, Chipper, Carpenter, Pengecat , Pemotong Reamer, Tukang Riveter,Pekerja Mahir, Pengerudi",木桶，削片机，钻孔，漆工，钻孔，铆工，技工，焊工,,2.5,1.25,1,1.45,,,,
Ship & Boat Building - Hull Construction,Pembinaan Kapal &  Bot- Pembinaan Hull ,船舶建造 - 船体建造,"Crane Hooker, Erector, Follower, Rigger","Pengantung Kren, Erector, pembantu, Rigger",起重机吊钩，架设者，执行，装配,,5,D,D,D,,,,
Ship & Boat Building - Hull Construction,Pembinaan Kapal &  Bot- Pembinaan Hull ,船舶建造 - 船体建造,"Foreman, Supervisor","Mandor, Penyelia",工头，主管,Male,0,1,1,1,,,,
Ship & Boat Building - Hull Construction,Pembinaan Kapal &  Bot- Pembinaan Hull ,船舶建造 - 船体建造,"Forewoman, Supervisor","Mandor, Penyelia",女工头，主管,Female,0,1,1,1,,,,
"Ship & Boat Building, Dry Dock","Pembinaan Kapal & Bot, Deck kering",船舶及造船，干船坞,"Manager, Officer, Clerk (Office Work)","Pengurus,Pegawai, Kerani (Pejabat sahaja)",经理，主任，文员（事务）,,0,1,1,1,,,,
Shopkeepers,Penjaga Kedai,店主,"Shopkeeper, Assistant – No Delivery Service / With Delivery Service On Vehicle Other Than Motorcycle (E.g.: Bicycle, Car, Van, Lorry)","Peniaga, Pembantu jualan - Tiada Perkhidmatan Penghantaran / Dengan Perkhidmatan Penghantaran Di Kenderaan Selain Motosikal (Contoh: Basikal, Kereta, Van, Lori)",店主助理 - 没有送货服务 / 送货服务 - 摩托车以外的（例如：脚车，汽车，货车，罗里）,,0,1,1,1,,,,
Shopkeepers,Penjaga Kedai,店主,"Shopkeeper, Assistant (Delivery On Motorcycle)","Peniaga, Pembantu Jualan (penghantaran menggunkaan Motosikal)",店主助理（摩托车送货）,,0,1.25,1,1,,,,
Soap & Detergent Manufacture,Kilang Pembuatan Sabun & Detergen ,肥皂和洗涤剂制造,Abrasive Work,Pengendali Abrasive ,磨料加工,,2.5,1.5,1,1.45,,,,
Soap & Detergent Manufacture,Kilang Pembuatan Sabun & Detergen ,肥皂和洗涤剂制造,"Manager, Officer, Clerk (Office Work)","Pengurus, Pegawai, Kerani (Pejabat Sahaja)",经理，主任，文员（事务）,,0,1,1,1,,,,
Soap & Detergent Manufacture,Kilang Pembuatan Sabun & Detergen ,肥皂和洗涤剂制造,Labourer,Pekerja ,劳工,,0,1.5,D,1.45,,,,
Soap & Detergent Manufacture,Kilang Pembuatan Sabun & Detergen ,肥皂和洗涤剂制造,Non-Abrasive Work,Bukan Pengendali Abrasive,非磨料加工,,0,1.25,1,1,,,,
Soap & Detergent Manufacture,Kilang Pembuatan Sabun & Detergen ,肥皂和洗涤剂制造,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Social Worker,Sukarelawan ,社会工作者,"Social Worker (Outdoor, Involved In Youth Functions, Community Development)","Sukarelawan (KerjaLuar, Terlibat dalam program Belia, Pembangunan Masyarakat)",社会工作者（户外，参与青年活动，社区发展）,,0,1,1,1,,,,
Solder,Pematri,焊接设备,Solder Maker,Pembuat patri,焊接设备制造,,0,1.25,1,1.3,,,,
Solderer,Pematri,焊工,Solderer - Non-Hazardous Industry,Pematri -Industri Tidak Bahaya,焊工 - 非危险行业,,0,1,1,1,,,,
"Spiritualist, Medium, Bomoh","Kerohanian, Bomoh",精神主义者，灵媒，巫师,"Spiritualist, Medium, Bomoh","Kerohanian, Bomoh",精神主义者，灵媒，巫师,,0,D,D,D,,,,
Sports - Racer,Sukan - Pelumba,运动 - 赛车,Automobile Racer (Full time),Pelumba Kereta (sepenuh masa),汽车赛车手（全职）,,10,D,D,D,,,,
